HERD NAME,STATE,BREED,TOTAL COWS,COWS IN MILK,PERCENT 1ST LACTATION,MILK HERD,FAT PERCENT AVERAGE,PROTEIN PERCENT AVERAGE,FAT AND PROTEIN,ENERGY CORRECTED MILK,SOMATIC CELL COUNT HERD,DAYS IN MILK HERD,MILK LACTATION ONE,MILK OVER 270 DAYS IN MILK,PERCENT OVER 270 DAYS IN MILK,FIRST MILK LACTATION ONE,FIRST MILK LACTATION TWO,FIRST MILK LACTATION THREE PLUS,PEAK MILK LACTATION ONE,PEAK MILK LACTATION TWO,PEAK MILK LACTATION THREE PLUS,FOUR WEEK MILK LACTATION ONE,FOUR WEEK MILK LACTATION TWO,FOUR WEEK MILK LACTATION THREE PLUS,EIGHT WEEK MILK LACTATION ONE,EIGHT WEEK MILK LACTATION TWO,EIGHT WEEK MILK LACTATION THREE PLUS,DRY MATTER INTAKE,EFFICIENCY BY ENERGY CORRECTED MILK,PERCENT HEAT DETECTION,PERCENT PREGNANCY RATE,PERCENT PREGNANT HERD,CALVING INTERVAL,DAYS FIRST BREED AVERAGE,DAYS OPEN AVERAGE,DAYS OPEN MONTH AVERAGE,PERCENT OPEN GREATER THAN 150 DAYS,INVERSION,SOMATIC CELL COUNT GREATER THAN 500,EVALUATION DATE
HERD002,ID,Holstein,1644,1401,23.41184868,70.64389722,4.178872234,3.238115632,5.239649284,78.00598163,178.142029,173.9129193,63.7402439,55.98968254,17.6302641,53.92105263,81,83.76315789,77.62380952,90.86206897,98.25933014,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,3.221288515,0,Dec 05 2019
HERD002,ID,Holstein,1628,1398,23.03290415,72.21802575,3.913304721,3.265593705,5.184458714,77.42620173,196.1381818,173.4077253,67.24875776,56.3796748,17.52503577,52.61904762,78.52173913,77.69512195,77.64,89.98550725,98.35922819,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,9.718309859,0,Nov 07 2019
HERD002,ID,Holstein,1596,1359,21.41280353,73.21066961,3.882928624,3.120750552,5.127440422,77.4112608,193.0410448,170.3752759,66.70103093,57.8127193,16.48270787,57.80952381,74.96774194,79.03921569,78.37918216,90.27234927,98.84578097,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,6.437454279,0,Oct 03 2019
HERD002,ID,Holstein,1641,1408,21.23579545,73.26995739,3.676207386,3.041690341,4.922200802,75.09281922,183.9478261,168.5362216,65.75585284,55.90393013,15.83806818,54,68.22,78.83673469,79.02197802,90.08197065,98.80980736,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10.66666667,0,Sep 05 2019
HERD002,ID,Holstein,1615,1392,21.83908046,72.52808908,3.914798851,3.003591954,5.017776646,76.35117596,209.4784199,171.7140805,65.76414474,58.4185654,16.95402299,58.09090909,75.11864407,78.14666667,79.5,90.18666667,97.60413793,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,3.846153846,0,Aug 08 2019
HERD002,ID,Holstein,1631,1399,30.16440315,73.80650465,3.981272337,3.023230879,5.169778992,78.43633445,273.8910022,170.8506076,66.58838863,57.55338983,16.51179414,53.61904762,79.47826087,84.96296296,80.14293948,93.24264706,100.7897436,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,3.521126761,0,Jul 04 2019
HERD002,ID,Holstein,1541,1343,30.08190618,74.02002978,3.786820551,3.105510052,5.101705165,77.26782697,215.8278999,170.8227848,66.77722772,62.48945148,17.57259866,51.76666667,80.17241379,78.86363636,83.02697842,96.17789757,100.9080745,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10.53019146,0,May 02 2019
HERD002,ID,Holstein,1467,1274,25.74568289,73.84097331,3.515541601,2.992229199,4.8054013,73.87917819,267.8683788,160.9034537,66.95426829,59.47164179,15.46310832,62.90697674,78.5,76.48148148,82.48808664,95.34520548,100.2201183,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,12.80864198,0,Apr 04 2019
HERD002,ID,Holstein,1086,949,36.24868282,76.35216017,4.009589041,3.246680717,5.540318708,82.69586934,298.5700431,200.512118,71.69622093,61.49004149,25.28977871,53,82,79.22727273,87.25363636,103.5809859,110.5845697,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,8.376421923,0,Nov 01 2018
HERD002,ID,Holstein,1128,990,37.77777778,75.98070707,3.845151515,3.131717172,5.30107416,80.03343663,231.8316008,189.7888889,70.49197861,58.62440476,16.76767677,52.83333333,80.16666667,78.03448276,86.63911846,104.4225352,111.6342183,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,9.236947791,0,Oct 04 2018
HERD002,ID,Holstein,1171,1035,38.45410628,80.14154589,3.763188406,3.122512077,5.518306813,83.51630097,309.7507448,186.4763285,74.25427136,61.94064171,17.68115942,62.23529412,79.04166667,84.70588235,87.08170103,106.2861842,113.9098592,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10.89015152,0,Sep 06 2018
HERD003,PA,Holstein,96,80,50,84.65,3.91375,3.10875,5.94454625,90.7151725,254.6835443,198,74.25,72.52173913,27.5,69,105,0,81.915625,108.0428571,116.9166667,77,0,71,,,,0,0,0,0,0,0,0,0,0,0,1.234567901,0,Sep 24 2021
HERD003,PA,Holstein,98,84,50,87.28809524,3.651190476,3.005952381,5.810893197,89.88792959,151.6785714,172,76.74761905,87.71428571,16.66666667,56.36,74.46666667,100.05,83.70384615,109.5083333,119.925,65.33333333,101.3333333,113,,,,0,0,0,0,0,0,0,0,0,0,10.34482759,0,Jul 28 2021
HERD003,PA,Holstein,100,83,46.98795181,93.16506024,3.771084337,3.002409639,6.310529743,97.3611921,176.6707317,164,83.85384615,77,4.819277108,59.03333333,86.05,123.6,84.80833333,105.5272727,120.3125,80,94.5,108,,,,0,0,0,0,0,0,0,0,0,0,5.813953488,0,Jun 25 2021
HERD003,PA,Holstein,104,90,45.55555556,89.48888889,3.703333333,3.09,6.079278519,93.33392815,186.4666667,150,79.12195122,66.1,2.222222222,72.125,75.4,98.76666667,79.92272727,105.175,114.4076923,78,68.66666667,119.6666667,,,,0,0,0,0,0,0,0,0,0,0,7.692307692,0,May 28 2021
HERD004,NM,Holstein,4921,3947,36.61008361,72.05219154,3.289701969,3.240659925,4.70526886,71.33577917,318.1204244,180.4200659,66.24775087,52.45182292,19.35647327,62.78756477,83.8974359,90.01242236,82.0488177,99.41310282,106.412709,64.67857143,85.11111111,93.18831169,,,,0,0,0,0,0,0,0,0,0,0,41.27892511,0,Jan 17 2017
HERD004,NM,Holstein,5021,4081,38.64248959,72.81867189,3.436719147,3.173304547,4.813331465,73.10450429,250.4646029,185.270767,66.34812936,54.96352201,19.2354815,58.05288462,77.43181818,81.86524823,81.1407967,100.8983051,108,62.90849673,91.07462687,95.05479452,,,,0,0,0,0,0,0,0,0,0,0,28.89742974,0,Feb 21 2017
HERD004,NM,Holstein,5058,4106,38.7238188,78.20482221,3.399323986,3.195217827,5.1572497,78.26389485,230.4546137,194.6751096,73.00314465,60.22993492,22.21139795,64.05982906,85.81818182,93.73913043,83.12556634,101.8710602,109.458793,66.93529412,92.83333333,97.93269231,,,,0,0,0,0,0,0,0,0,0,0,31.49795624,0,Mar 21 2017
HERD004,NM,Holstein,5067,4094,39.15486077,78.35368832,3.15483871,3.155372111,4.944282919,75.71584026,278.8354045,202.3246214,74.06612601,59.497,24.05959941,69.23448276,85.42424242,89.30487805,85.61568123,102.6868396,111.2384365,72.50909091,97.17647059,106.5959596,,,,0,0,0,0,0,0,0,0,0,0,44.89356613,0,Apr 18 2017
HERD004,NM,Holstein,5035,4069,40.10813468,75.42860654,3.532271118,3.163277693,5.050359168,76.59497697,230.4773933,204.3659376,72.27083333,58.69104205,26.46841976,65.9261745,82.84337349,91.86746988,86.65819568,102.2279693,111.9778523,74.22222222,91.48275862,100.0135135,,,,0,0,0,0,0,0,0,0,0,0,24.58737864,0,May 16 2017
HERD004,NM,Holstein,5155,3971,39.73810123,71.96877361,3.214086728,3.115847569,4.555576084,69.88145977,235.181699,205.9853941,68.43599493,60.02436823,27.57491816,60.5703125,77.27102804,76.83453237,85.32094176,101.0515464,111.6984758,65.87068966,88.59302326,90.16853933,,,,0,0,0,0,0,0,0,0,0,0,36.18324351,0,Jun 20 2017
HERD004,NM,Holstein,4751,3972,40.08056395,68.14375629,3.302612827,3.100659805,4.363430497,66.86574487,183.857218,200.4853978,63.24183417,58.94383149,24.8489426,56.375,76.52631579,81.50684932,84.6651525,100.6494747,111.5805593,56.61403509,82.01204819,82.51851852,,,,0,0,0,0,0,0,0,0,0,0,30.99386503,0,Jul 18 2017
HERD004,NM,,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,Aug 01 2017
HERD004,NM,Holstein,4723,3920,42.70408163,70.33035714,3.772846956,3.201618212,4.905166261,73.79547481,338.2153005,194.5688776,64.84647551,55.78932584,26.96428571,53.81578947,79.34313725,83.88198758,81.82023157,100.6066536,110.8111031,59.49717514,88.59047619,91.35384615,,,,0,0,0,0,0,0,0,0,0,0,20.00495172,0,Sep 19 2017
HERD004,NM,Holstein,4799,3901,42.60446039,74.93642656,3.726140156,3.350305895,5.302835798,79.01180702,280.5217632,195.0699821,70.566787,58.13666352,26.81363753,61.44186047,92.14285714,92.91847826,84.52951807,102.1493902,110.2929437,65.12418301,92.02531646,98.58646617,,,,0,0,0,0,0,0,0,0,0,0,23.36004006,0,Oct 17 2017
HERD004,NM,Holstein,4718,3853,43.23903452,80.75188165,3.800378072,3.330002701,5.757916643,85.79183447,219.1573999,186.9706722,75.19687875,59.64046122,24.68206592,73.76373626,95.51401869,100.8407643,87.96978852,105.3109328,113.1093411,75.37762238,104.7317073,107.8666667,,,,0,0,0,0,0,0,0,0,0,0,20.33383915,0,Nov 21 2017
